LabID,Phylum,Order,Taxon_name,Average_weightloss(%)(Exp1),Average_decomposition(%)(Exp1),Average_hyphallength(m/g soil)(Exp1),Litter_type(Exp1),Glucose_use(Exp2),Cellobiose_use(Exp2),Xylan_use(Exp2),Cellulose_use(Exp2),Litter_use(Exp2),CCUA(Exp2),Alkaline_phosphatase(Exp3),Acid_phosphatase(Exp3),Esterase(Exp3),Lipase(Exp3),Leucine_arylamidase(Exp3),Valine_arylamidase(Exp3),Trypsin(Exp3),a_chymotrypsin(Exp3),Phosphohydrolase(Exp3),a_galactosidase(Exp3),b_galactosidase(Exp3),b_glucoronidase(Exp3),a_glucosidase(Exp3),b_glucosidase(Exp3),b_glucosaminidase(Exp3),a_mannosidase(Exp3),"NewAggregateFormation(Lehmann,2020)","DominanceIndex/Competitiveness(Lehmann,2020)","Colony_extension_rate(Lehmann,2020)","Palatability(Lehmann,2020)","Biomass_density(Zheng,2020)","Hydrophobicity(Zheng,2020)","Laccase(Zheng,2020)","Leucine_aminopeptidase(Zheng,2020)","Cellobiohydrolase(Zheng,2020)","Acid_phosphatase(Zheng,2020)"
RLCS13,Ascomycota,Hypocreales,Fusarium_solani,67.3,31.84,2.455,leaf,1,0.969322926,0.131602832,0.060809584,0.037756399,1.711974911,33.33333333,40,10,0,1.666666667,0,0,0,20,0,0,0,13.33333333,36.66666667,3.333333333,0,5.9,87,125.45167,15.66131,0.06408122,3.75,1.19373997,0.95302503,0.03455987,0.330238457
RLCS14,Ascomycota,Pleosporales,Didymellaceae_strain_2,67.54,32.08,9.465,leaf,1,0.464582372,0.145131518,-0.025842178,-0.028841717,1.626344922,40,6.666666667,10,0,30,6.666666667,0,0,6.666666667,0,0,0,3.333333333,20,13.33333333,3.333333333,6.209091,59,117.94917,31.835714,0.06758897,7.083333,0.02185043,0.16930794,0.012862524,0.829239135
RLCS15,Mucoromycota,Mortierellales,Mortierella_elongata_strain_1,35.06,-0.4,4.815,leaf,1,0.025330197,0.039442736,0,0,1.097875956,40,40,1.666666667,0,33.33333333,16.66666667,1.666666667,11.66666667,40,0,0,0,0,0,40,0,5.081818,47,98.51917,16.256746,0.0521637,25.833333,0.01929961,0.95942056,0.001596814,1.13661026
RLCS16,Basidiomycota,Agaricales,Pleurotus_pulmonarius,72.74,37.28,5.205,leaf,1,0.923611111,0.177083333,0.052083333,0.027777778,1.758039816,40,30,8.333333333,5,40,3.333333333,0,0,30,0,0,0,6.666666667,20,23.33333333,0,6.536364,75,84.58333,18.370833,0.0189095,57.5,2.4672004,2.75011445,0.055625742,0.070845496
RLCS17,Basidiomycota,Agaricales,Clitopilus_sp.,65.51,30.05,5.425,leaf,1,0.757679181,0.153583618,0.030716724,0.098976109,1.760869565,26.66666667,30,0,0,30,30,33.33333333,0,26.66666667,6.666666667,3.333333333,26.66666667,26.66666667,16.66666667,33.33333333,3.333333333,7.309091,42,79.48425,16.848958,0.08116044,43.75,2.33938512,1.24670962,0.01370193,0.10604317
RLCS18,Ascomycota,Hypocreales,Gibberella_sp.,73.2,37.74,3.415,leaf,0.814884858,1,0.213643115,-0.058321979,-0.006659202,1.802118666,33.33333333,33.33333333,6.666666667,0,36.66666667,18.33333333,0,8.333333333,23.33333333,0,0,0,0,0,33.33333333,0,9.336364,95,78.09667,23.845833,0.06160404,13.75,0.04053087,0.5017854,0.025198091,0.410239452
RLCS19,Mucoromycota,Umbelopsidales,Umbelopsis_isabellina,31.89,-3.57,5.575,leaf,1,0.695885991,0.004167787,0,0,1.414234875,40,40,3.333333333,0,40,15,0,6.666666667,23.33333333,0,0,0,10,11.66666667,0,3.333333333,3.7,47,70.4725,11.050694,0.07162559,30.416667,0.0202072,2.09031612,0.015942471,0.202905217
RLCS20,Ascomycota,Hypocreales,Purpureocillium_lilacinum,41.11,5.65,7.895,leaf,1,0.477924945,-0.059602649,-0.046357616,-0.309390389,1.795542541,23.33333333,40,6.666666667,0,0,0,0,0,11.66666667,5,0,0,36.66666667,40,40,0,6.072727,33,55.23008,19.2375,0.06695733,40.416667,0.01664351,1.15413713,0.023075055,0.397281729
RLCS21,Ascomycota,Pleosporales,Pyrenochaetopsis_leptospora,69.14,33.68,2.375,leaf,1,0.852534562,0.253456221,-0.006912442,0.032258065,1.725737374,36.66666667,40,5,0,16.66666667,0,0,0,40,0,0,0,1.666666667,36.66666667,40,3.333333333,6.072727,37,44.71425,95.610417,0.12679416,0,1.34973628,1.43569344,0.0929023,1.482026598
RLCS22,Ascomycota,Pleosporales,Paraphoma_chrysanthemicola,72.17,36.71,-0.325,leaf,1,0.972696246,0.293515358,0.046468889,0.290102389,2.132763975,30,40,20,3.333333333,23.33333333,0,0,0,16.66666667,0,0,0,13.33333333,30,40,0,10.009091,40,44.60708,48.490625,0.14401909,16.25,0.28607981,0.4137602,0.047117593,0.378473143
